"","site","region","probe","p.slp","p.rsq","p.se","r.slp","r.rsq","r.se","tempO2_PS","tempO2_R","parPS","parR","tempHOBO_PS","tempHOBO_R","successful","location","description","dominant","chamber"
"mins13","site07","GBR","P2",9.4,0.524,1.68483875536824,-35.2,0.756,3.92333189040599,27.916,27.8385714285714,2800.24166666667,0,28.2976,28.0158035714286,"y","Jo's cove","Acro corym","Acropora","bl 1"
"mins14","site09","GBR","P1",18.2,0.883,1.19416065519584,-4.6,0.644,0.676942868717027,27.4793939393939,27.3637037037037,15109.9939393939,0,28.609696969697,27.4499814814815,"y","Outer Jo's","branching por small","Branching_other","bl 1"
"mins15","site09","GBR","P2",8.9,0.895,0.54825071544544,-20,0.932,1.08149305792515,27.3836363636364,27.3162962962963,15109.9939393939,0,28.609696969697,27.4499814814815,"y","Outer Jo's","branching por small","Branching_other","bl 1"
"mins16","site10","GBR","P3",10.8,0.356,2.73507768439706,-79.1,0.867,6.06371726243513,27.1866666666667,27.1492857142857,6151.23833333333,8.84107142857143,27.9777,27.3630892857143,"y","Outer Jo's","Poc + fish 2","Pocillopora_fish","bl 2"
"mins17","site10","GBR","P4",26.3,0.973,0.826899604516885,-37.5,0.907,2.35524443290946,27.3253333333333,27.2185714285714,6151.23833333333,8.84107142857143,27.9777,27.3630892857143,"y","Outer Jo's","Poc + fish 2","Pocillopora_fish","bl 2"
"mins18","site11","GBR","P1",12,0.929,0.606445959833522,-20.3,0.974,0.650285342121215,28.055,27.9864285714286,4335.8515625,9.99642857142857,29.0954375,28.13425,"y","Jo's cove","coscinarea","Mound_other","bl 1"
"mins19","site11","GBR","P2",20.3,0.93,1.0128020065859,-20.4,0.971,0.691097213031543,28.396875,27.9342857142857,4335.8515625,9.99642857142857,29.0954375,28.13425,"y","Jo's cove","coscinarea","Mound_other","bl 1"
"mins20","site12","GBR","P3",7.5,0.718,0.873338552209425,-13.3,0.745,1.52272949807967,28.0354838709677,27.9571428571429,1806.43225806452,5.77321428571429,29.1362741935484,28.1855178571429,"y","Jo's cove","small poc","Pocillopora","bl 2"
"mins21","site12","GBR","P4",11.2,0.836,0.920216747584712,-3.9,0.709,0.49135021311064,28.1909677419355,28.0392857142857,1806.43225806452,5.77321428571429,29.1362741935484,28.1855178571429,"y","Jo's cove","small poc","Pocillopora","bl 2"
"mins22","site13","GBR","P1",8.3,0.87,0.644554891096641,-8,0.858,0.680713014703649,27.7762962962963,27.9288,6845.87407407407,372.216,28.6859074074074,28.14526,"y","Casuarina","small stag","Acropora","bl 1"
"mins23","site13","GBR","P2",8.1,0.832,0.727871385094909,-14.9,0.794,1.58080767963396,27.7592592592593,27.8744,6845.87407407407,372.216,28.6859074074074,28.14526,"y","Casuarina","small stag","Acropora","bl 1"
"mins24","site14","GBR","P3",9.7,0.929,0.557196758268349,-7.4,0.849,0.738834195280496,27.892,27.919,4834.306,4.8475,29.25052,28.156525,"y","Casuarina","por and rock","Porites","bl 2"
"mins25","site14","GBR","P4",4.6,0.4,1.18561721959798,-10.9,0.708,1.65640840251571,27.8968,27.995,4834.306,4.8475,29.25052,28.156525,"y","Casuarina","por and rock","Porites","bl 2"
"mins26","site15","GBR","P1",3.6,0.77,0.393738344548262,-8.5,0.973,0.306096343437905,29.0792592592593,29.0286956521739,9056.67592592593,5.85,30.3342777777778,29.1871739130435,"y","Casuarina","small por/fav","Mound_other","bl 1"
"mins27","site15","GBR","P2",4.9,0.841,0.42776246198594,-9,0.974,0.324958550432316,29.0637037037037,28.98,9056.67592592593,5.85,30.3342777777778,29.1871739130435,"y","Casuarina","small por/fav","Mound_other","bl 1"
"mins28","site16","GBR","P3",22.8,0.948,1.01297490056775,-74.7,0.991,1.7586068934764,28.9106666666667,28.9105263157895,2633.94333333333,0,29.4303333333333,29.1442894736842,"y","Casuarina","large favid","Mound_other","bl 2"
"mins29","site16","GBR","P4",23.3,0.975,0.706764961126493,-76.1,0.996,1.18393338499184,28.9806666666667,29.0042105263158,2633.94333333333,0,29.4303333333333,29.1442894736842,"y","Casuarina","large favid","Mound_other","bl 2"
"mins30","site17","GBR","P2",46.9,0.991,0.828290450676733,-19.2,0.995,0.265143345392572,27.3606666666667,27.4433333333333,13708.9866666667,172.94,29.0661333333333,27.7081,"y","Casuarina","Turf rock","Turf_dead","bl 1"
"mins31","site18","GBR","P3",60,0.999,0.299726096664014,-79,0.994,1.30139245842535,27.3404444444444,27.5816,7942.6,0.862,28.5238444444444,27.85438,"y","Casuarina","Acro corym2","Acropora","bl 2"
"mins32","site18","GBR","P4",60.1,0.999,0.313300811847852,-80.6,0.995,1.19211024365751,27.4622222222222,27.6752,7942.6,0.862,28.5238444444444,27.85438,"y","Casuarina","Acro corym2","Acropora","bl 2"
"mins33","site19","GBR","P1",47.5,0.996,0.542812233139335,-18.5,0.996,0.242375149721179,27.3466666666667,27.5325925925926,15855.3069444444,630.094444444444,29.0034722222222,27.6944814814815,"y","Casuarina","Monti","Mound_other","wh 3"
"mins34","site20","GBR","P2",11.8,0.953,0.587434272308488,-22.2,0.977,0.672184399623429,29.3581818181818,29.0564285714286,4396.58181818182,0,30.0422272727273,29.2145,"y","Casuarina","A. sarmentosa","Acropora","bl 1"
"mins35","site21","GBR","P3",13.9,0.892,1.33939865213682,-29.3,0.989,0.599238206010225,29.2173333333333,29.0124137931034,10987.4966666667,0,30.1715333333333,29.2192413793103,"y","Casuarina","Folio-soft","Soft coral","bl 2"
"mins36","site21","GBR","P4",11.1,0.91,0.968161387915653,-27.6,0.993,0.437291618404689,29.1973333333333,29.0848275862069,10987.4966666667,0,30.1715333333333,29.2192413793103,"y","Casuarina","Folio-soft","Soft coral","bl 2"
"mins37","site22","GBR","P1",6.9,0.639,1.49579776063069,-7.5,0.948,0.32545645249754,29.1785714285714,29.0574193548387,7399.44285714286,343.225806451613,30.1222857142857,29.1379032258065,"y","Casuarina","Soft coral","Soft coral","wh 3"
"mins38","site23","GBR","P3",13.8,0.88,0.965021110134074,-17,0.716,2.1050262252514,27.33,27.2978571428571,3714.29,0,28.5695333333333,27.4962857142857,"y","Watsons","white poc","Pocillopora","bl 1"
"mins39","site24","GBR","P1",32,0.977,0.936275021844212,-9.8,0.945,0.500564497748331,27.5275862068966,27.4516666666667,2306.45689655172,0,28.8575,27.5874791666667,"y","Watsons","dead poc","Turf_dead","bl 2"
"mins40","site25","GBR","P2",9,0.927,0.395803220900855,-9,0.777,1.13443340588693,27.553488372093,27.439,6520.45348837209,270.995,28.5427441860465,27.57165,"y","Watsons","sandy porites","Porites","wh 3"
"mins41","site26","GBR","P1",13,0.961,0.547903363941255,-20,0.974,0.568652956953718,29.26,28.8971428571429,3571.256,0,30.00958,29.0158428571429,"y","Casuarina","soft x 2","Soft coral","bl 1"
"mins42","site27","GBR","P3",19.1,0.955,0.742480925863702,-10.2,0.981,0.275196632711155,29.1218181818182,29.0144827586207,4634.37424242424,50.4793103448276,30.4329242424242,29.2727413793103,"y","Casuarina","seagrass","Seagrass","bl 2"
"mins43","site27","GBR","P4",15.1,0.96,0.55283487628218,-10.6,0.977,0.312785254472959,29.1448484848485,29.0986206896552,4634.37424242424,50.4793103448276,30.4329242424242,29.2727413793103,"y","Casuarina","seagrass","Seagrass","bl 2"
"mins44","site28","GBR","P2",8.6,0.546,1.32874901954216,-5.6,0.683,0.853836348402332,29.1648648648649,28.7536363636364,8501.77972972973,119.615909090909,30.3475675675676,28.86025,"y","Casuarina","tiny poc","Pocillopora","wh 3"
"mins45","site29","GBR","P4",42.2,0.989,0.800651322977398,-29.1,0.965,1.06706198640817,26.9075,27.0379310344828,8648.834375,0,28.165359375,27.1918103448276,"y","Mermaids Cove","SC reef","Soft coral","bl 2"
"mins46","site30","GBR","P2",22.5,0.9,1.41637682131204,-3.4,0.877,0.268696803405166,27.3773333333333,27.05,8691.53333333333,266.63125,28.2233833333333,27.1404166666667,"y","Mermaids Cove","juvy acro","Turf_dead","wh 3"
"mins47","site31","GBR","P1",25.5,0.964,0.876574859142282,-12.9,0.984,0.327820068903491,27.1605882352941,27.1103703703704,6075.92647058824,243.187037037037,28.1939411764706,27.279037037037,"y","Mermaids Cove","dead stag","Turf_dead","bl 1"
"mins48","site32","GBR","P3",21.5,0.987,0.372751949857584,-27.7,0.963,1.00138051037017,27.348,27.3670967741935,10321.9277777778,0,28.5808222222222,27.5955161290323,"y","Mermaids Cove","pori SC shallow","Porites","bl 1"
"mins49","site32","GBR","P4",22.1,0.993,0.283151024733544,-39.7,0.981,1.02665942108486,27.4644444444444,27.4425806451613,10321.9277777778,0,28.5808222222222,27.5955161290323,"y","Mermaids Cove","pori SC shallow","Porites","bl 1"
"mins50","site33","GBR","P2",9.3,0.917,0.511354658193164,-6.1,0.926,0.319871830157471,NA,27.3348387096774,8903.4303030303,389.06935483871,28.6609090909091,27.4492903225806,"y","Mermaids Cove","baby pori","Porites","wh 3"
"mins51","site34","GBR","P1",28.6,0.999,0.16372438030921,-49.3,0.998,0.386280679829356,27.4572727272727,27.4453333333333,5613.64204545455,0,29.1230568181818,27.5635,"y","Mermaids Cove","pori deep","Porites","bl 2"
"mins52","site35","GBR","P1",33.5,0.978,0.932790222656347,-20.5,0.967,0.726332055903657,27.2245161290323,26.8634482758621,5625.02258064516,218.255172413793,28.4741290322581,26.9601551724138,"y","Sterlings patch","branching pori","Branching_other","wh 3"
"mins53","site36","GBR","P2",33.2,0.995,0.470967863034013,-8,0.898,0.857606138000326,26.765,26.905,11794.2303571429,168.6375,27.8274642857143,27.1119166666667,"y","Sterlings patch","mass por","Porites","bl 1"
"mins54","site37","GBR","P3",24.2,0.979,0.694023774717373,-24.7,0.963,0.96285140123267,26.7071428571429,26.92,4891.45357142857,0.2,27.5193392857143,27.215037037037,"y","Sterlings patch","monti branch","Branching_other","bl 2"
"mins55","site37","GBR","P4",25.3,0.958,1.0429766295539,-40.5,0.959,1.6787414012913,26.7342857142857,27.0007407407407,4891.45357142857,0.2,27.5193392857143,27.215037037037,"y","Sterlings patch","monti branch","Branching_other","bl 2"
"mins56","site38","GBR","P1",23.8,0.976,0.711613539955275,-7.3,0.774,0.719440097417404,26.8653333333333,27.064375,6578.92,210.071875,28.2965833333333,27.170265625,"y","Sterlings patch","favi medium","Mound_other","wh 3"
"mins57","site39","GBR","P2",6.4,0.972,0.206210806407489,-6.7,0.854,0.526117030316858,26.8573333333333,27.1326666666667,6544.47833333333,0,27.9710833333333,27.3291333333333,"y","Sterlings patch","favi small","Mound_other","bl 1"
"mins58","site40","GBR","P3",25.9,0.982,0.698115211681578,-72.9,0.887,5.21150116852963,26.8622222222222,27.0940740740741,21730.4407407407,912.346296296297,27.751537037037,27.3591666666667,"y","Sterlings patch","softy","Soft coral","bl 2"
"mins59","site40","GBR","P4",21.4,0.982,0.577522391367523,-18.8,0.901,1.24719342896935,26.9340740740741,27.1607407407407,21730.4407407407,912.346296296297,27.751537037037,27.3591666666667,"y","Sterlings patch","softy","Soft coral","bl 2"
"mins60","site41","GBR","P1",51.1,0.999,0.325487349473761,-23.2,0.98,1.3415985320935,27.5707142857143,27.8275,33460.5392857143,0,29.1487142857143,27.961,"y","exposed lagoon","big iso","Acropora","wh 4"
"mins61","site42","GBR","P3",13.2,0.995,0.142236933226129,-6,0.85,1.0194629030688,27.7027272727273,27.7825,15030.8886363636,5532.6875,28.7326136363636,28.072375,"y","exposed lagoon","small iso","Acropora","bl 1"
"mins62","site43","GBR","P2",16.5,0.958,0.469979665897767,-11.2,0.977,0.42206191384735,27.45,27.6578947368421,25662.825,180.152631578947,28.93725,27.9453684210526,"y","exposed lagoon","small stag","Acropora","wh 3"
"mins63","site44","GBR","P4",34.3,0.997,0.386429759580028,-31.1,0.995,0.57474015706778,27.5173913043478,27.64375,10222.9456521739,0.3375,28.6482391304348,27.8069375,"y","exposed lagoon","large stag","Acropora","bl 2"
"mins64","site45","GBR","P2",9.8,0.946,0.499246725927552,-5.7,0.704,0.719702334083606,26.775,26.835,5349.68333333333,38.4464285714286,27.5912916666667,27.0680714285714,"y","casuarina","table coral","Acropora","bl 1"
"mins65","site46","GBR","P4",3.9,0.906,0.418796210942011,-4.6,0.969,0.165265721468483,26.9436363636364,26.9303703703704,3746.82727272727,8.37037037037037,28.0240909090909,27.086037037037,"y","casuarina","tiny pori","Porites","bl 2"
"mins66","site47","GBR","P1",30.5,0.975,1.01214518218606,-45.6,0.998,0.470746239219706,26.8672,26.9217391304348,4908.368,114.65652173913,28.04436,27.1262608695652,"y","casuarina","sarmentosa L","Acropora","wh 4"
"mins67","site47","GBR","P3",33,0.967,1.26494767338956,-48.3,0.998,0.443150486820864,26.7712,26.8260869565217,4908.368,114.65652173913,28.04436,27.1262608695652,"y","casuarina","sarmentosa L","Acropora","wh 4"
"mins68","site45_swap","GBR","P2",-12.5,0.061,7.97200375639356,NA,NA,NA,26.913,NA,9821.03,NA,28.4546,NA,"y","casuarina","table coral","Acropora","wh 4"
"mins69","site46_swap","GBR","P4",22.4,0.876,1.75617108120992,NA,NA,NA,27.5792,NA,4826.992,NA,28.38496,NA,"y","casuarina","tiny pori","Porites","bl 1"
"mins70","site47_swap","GBR","P1",10.1,0.992,0.184720873101572,NA,NA,NA,26.6815384615385,NA,924.457692307692,NA,27.3964615384615,NA,"y","casuarina","sarmentosa L","Acropora","bl 2"
