site,date,successful,location,description,dominant,chamber,oxy probe A,oxy probe B,light probe A,light probe B,PS start,PS end,R start,R end,lat,long,weather,site_volume,site_area
hi17,10/22/2021,y,kbay_A,fungid,Lobactis,OG,P0,NA,,,14:37,14:47,14:52,14:59,,,partly cloudy,2394322,354638.7
hi18,11/15/2021,y,kbay_B,mcap_sand,M. capitata,OG,P0,NA,,,15:24,15:39,15:41,15:51,,,overcast,1963424,474123
hi19,11/17/2021,no_3Ddata,kbay_B,thin_por,P. compressa,OG,P0,NA,,,12:05,12:13,12:14,12:21,,,sunny,,
hi20,11/17/2021,y,kbay_B,brown_mcap2,M. capitata,OG,P0,NA,,,11:34,11:46,11:47,11:59,,,sunny,9609329,752494
hi21,11/17/2021,no_leak,kbay_B,thin_mcap,M. capitata,OG,P0,NA,,,12:21,12:33,12:39,12:45,,,sunny_flat,,
hi22,11/17/2021,no_leak,kbay_C,column_mcao,M. capitata,OG,P0,NA,,,13:37,13:44,13:51,13:54,,,sunny_flat,,
hi22b,11/21/2021,no_leak,kbay_C,column_mcao,M. capitata,OG,P0,NA,,,13:20,13:35,13:37,13:49,,,sunny_flat,,
hi23,11/17/2021,y,kbay_C,fluffy_por,M. capitata,OG,P0,NA,,,14:02,14:13,14:23,14:28,,,sunny,5043974,604775
hi24,11/17/2021,no_leak,kbay_C,flat_monti,M. capitata,OG,P0,NA,,,14:34,15:04,15:06,15:15,,,sunny_flat,,
hi24b,11/21/2021,no_leak,kbay_C,flat_monti,M. capitata,OG,P0,NA,,,14:04,14:14,14:16,14:24,,,sunny_flat,,
hi25,11/17/2021,no_leak,kbay_C,big_por,P. compressa,OG,P0,NA,,,15:28,15:40,15:42,15:50,,,sunny_flat,,
hi25b,11/21/2021,no_3Ddata,kbay_C,big_por,P. compressa,OG,P0,NA,,,11:56,12:20,12:22,12:35,,,sunny,,
hi25c,11/21/2021,no_leak,kbay_C,big_por,P. compressa,OG,P0,NA,,,13:51,14:01,14:01,14:08,,,sunny_flat,,
hi26,11/21/2021,no_leak,kbay_C,double_por,P. compressa,OG,P0,NA,,,12:41,12:57,12:59,13:15,,,sunny_flat,,
hi27,11/24/2021,no_3Ddata,kbay_A,por_pdam,P. compressa,OG,P0,NA,,,12:42,12:50,12:58,13:09,,,partly cloudy,,
hi28,11/24/2021,no_3Ddata,kbay_A,pdam_rock,P. damicornis,OG,P0,NA,,,13:13,13:30,13:32,13:41,,,partly cloudy,,
hi29,11/24/2021,no_3Ddata,kbay_A,bulky_mcap,M. capitata,OG,P0,NA,,,13:46,13:55,13:59,14:07,,,partly cloudy,,
hi30,03/21/2022,y,kbay_A,lagoon_pcom,P. compressa,OG,P0,NA,,,12:17,12:41,12:42,12:56,,,sunny_deep,12321296,767759
hi31,03/21/2022,y,kbay_A,lagoon_mcap,M. capitata,OG,P0,NA,,,13:01,13:14,13:40,13:45,,,sunny_deep,10634530,595881
hi32,03/21/2022,y,kbay_A,large_pcom,P. compressa,OG,P0,NA,,,13:55,14:09,14:10,14:28,,,partly cloudy,37043256,917205
hi33,03/21/2022,y,kbay_A,pdam_rock2,P. damicornis,OG,P0,NA,,,14:35,14:47,14:48,14:59,,,partly cloudy,4212951,498822
hi34,03/22/2022,y,kbay_A,pcom_round,P. compressa,OG,P0,NA,,,13:52,14:07,14:09,14:21,,,overcast_partly,24855972,725130
hi35,03/22/2022,y,kbay_A,pcom_med,P. compressa,OG,P0,NA,,,14:32,14:46,14:47,15:00,,,overcast_partly,7069284,769614
hi36,03/22/2022,y,kbay_A,rock,Rock/Turf,OG,P0,NA,,,15:07,15:22,15:23,15:35,,,overcast_partly,6362376,492309
