"Plot Title: 2021_3_21_b"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 10834020, SEN S/N: 10834020, LBL: <C6>)","Intensity, lum/ft² (LGR S/N: 10834020, SEN S/N: 10834020)","Coupler Detached (LGR S/N: 10834020)","Coupler Attached (LGR S/N: 10834020)","Host Connected (LGR S/N: 10834020)","Stopped (LGR S/N: 10834020)","End Of File (LGR S/N: 10834020)"
237,03/21/22 01:11:22 PM,86.641,480.0,,,,,
238,03/21/22 01:11:52 PM,86.641,480.0,,,,,
239,03/21/22 01:12:22 PM,86.823,800.0,,,,,
240,03/21/22 01:12:52 PM,87.368,896.0,,,,,
241,03/21/22 01:13:22 PM,87.552,960.0,,,,,
242,03/21/22 01:13:52 PM,87.368,576.0,,,,,
243,03/21/22 01:14:22 PM,87.186,512.0,,,,,
244,03/21/22 01:14:52 PM,87.004,480.0,,,,,
245,03/21/22 01:15:22 PM,87.004,464.0,,,,,
246,03/21/22 01:15:52 PM,86.823,384.0,,,,,
247,03/21/22 01:16:22 PM,86.641,368.0,,,,,
248,03/21/22 01:16:52 PM,86.459,352.0,,,,,
249,03/21/22 01:17:22 PM,86.459,352.0,,,,,
250,03/21/22 01:17:52 PM,86.277,352.0,,,,,
251,03/21/22 01:18:22 PM,86.277,480.0,,,,,
252,03/21/22 01:18:52 PM,86.459,416.0,,,,,
253,03/21/22 01:19:22 PM,86.459,480.0,,,,,
254,03/21/22 01:19:52 PM,86.641,512.0,,,,,
255,03/21/22 01:20:22 PM,87.004,672.0,,,,,
256,03/21/22 01:20:52 PM,86.641,384.0,,,,,
257,03/21/22 01:21:22 PM,86.459,368.0,,,,,
258,03/21/22 01:21:52 PM,86.459,352.0,,,,,
259,03/21/22 01:22:22 PM,86.097,26.0,,,,,
260,03/21/22 01:22:52 PM,85.915,1.0,,,,,
261,03/21/22 01:23:22 PM,85.554,0.0,,,,,
262,03/21/22 01:23:52 PM,85.374,0.0,,,,,
263,03/21/22 01:24:22 PM,85.194,0.0,,,,,
264,03/21/22 01:24:52 PM,85.014,0.0,,,,,
265,03/21/22 01:25:22 PM,85.014,0.0,,,,,
266,03/21/22 01:25:52 PM,84.834,0.0,,,,,
267,03/21/22 01:26:22 PM,84.834,0.0,,,,,
268,03/21/22 01:26:52 PM,84.834,0.0,,,,,
269,03/21/22 01:27:22 PM,84.834,0.0,,,,,
270,03/21/22 01:27:52 PM,84.654,0.0,,,,,
271,03/21/22 01:28:22 PM,84.834,0.0,,,,,
272,03/21/22 01:28:52 PM,84.654,0.0,,,,,
273,03/21/22 01:29:22 PM,84.654,0.0,,,,,
274,03/21/22 01:29:52 PM,84.654,0.0,,,,,
275,03/21/22 01:30:22 PM,84.654,0.0,,,,,
276,03/21/22 01:30:52 PM,84.654,0.0,,,,,
277,03/21/22 01:31:22 PM,84.654,0.0,,,,,
278,03/21/22 01:31:52 PM,84.654,0.0,,,,,
279,03/21/22 01:32:22 PM,84.654,0.0,,,,,
280,03/21/22 01:32:52 PM,84.654,0.0,,,,,
281,03/21/22 01:33:22 PM,84.654,0.0,,,,,
282,03/21/22 01:33:52 PM,84.654,0.0,,,,,
283,03/21/22 01:34:22 PM,84.654,0.0,,,,,
284,03/21/22 01:34:52 PM,84.654,0.0,,,,,
285,03/21/22 01:35:22 PM,84.654,0.0,,,,,
286,03/21/22 01:35:52 PM,84.654,0.0,,,,,
