"Plot Title: 2022_3_22"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 10834027, SEN S/N: 10834027, LBL: <F1>)","Intensity, lum/ft² (LGR S/N: 10834027, SEN S/N: 10834027)","Coupler Detached (LGR S/N: 10834027)","Host Connected (LGR S/N: 10834027)","Coupler Attached (LGR S/N: 10834027)","Stopped (LGR S/N: 10834027)","End Of File (LGR S/N: 10834027)"
201,03/22/22 02:52:56 PM,81.621,0.0,,,,,
202,03/22/22 02:53:26 PM,81.621,0.0,,,,,
203,03/22/22 02:53:56 PM,81.621,0.0,,,,,
204,03/22/22 02:54:26 PM,81.621,0.0,,,,,
205,03/22/22 02:54:56 PM,81.621,0.0,,,,,
206,03/22/22 02:55:26 PM,81.621,0.0,,,,,
207,03/22/22 02:55:56 PM,81.621,0.0,,,,,
208,03/22/22 02:56:26 PM,81.621,0.0,,,,,
209,03/22/22 02:56:56 PM,81.621,0.0,,,,,
210,03/22/22 02:57:26 PM,81.621,0.0,,,,,
211,03/22/22 02:57:56 PM,81.621,0.0,,,,,
212,03/22/22 02:58:26 PM,81.621,0.0,,,,,
213,03/22/22 02:58:56 PM,81.621,0.0,,,,,
214,03/22/22 02:59:26 PM,81.621,0.0,,,,,
215,03/22/22 02:59:56 PM,81.621,0.0,,,,,
216,03/22/22 03:00:26 PM,81.621,0.0,,,,,
217,03/22/22 03:00:56 PM,81.621,0.0,,,,,
218,03/22/22 03:01:26 PM,81.621,128.0,,,,,
219,03/22/22 03:01:56 PM,81.621,122.0,,,,,
220,03/22/22 03:02:26 PM,81.621,59.0,,,,,
221,03/22/22 03:02:56 PM,81.621,116.0,,,,,
222,03/22/22 03:03:26 PM,81.621,200.0,,,,,
223,03/22/22 03:03:56 PM,81.621,176.0,,,,,
224,03/22/22 03:04:26 PM,81.621,288.0,,,,,
225,03/22/22 03:04:56 PM,81.621,416.0,,,,,
226,03/22/22 03:05:26 PM,81.797,128.0,,,,,
227,03/22/22 03:05:56 PM,81.621,320.0,,,,,
228,03/22/22 03:06:26 PM,81.621,184.0,,,,,
229,03/22/22 03:06:56 PM,81.621,464.0,,,,,
230,03/22/22 03:07:26 PM,81.621,304.0,,,,,
231,03/22/22 03:07:56 PM,81.621,464.0,,,,,
232,03/22/22 03:08:26 PM,81.797,464.0,,,,,
233,03/22/22 03:08:56 PM,81.797,608.0,,,,,
234,03/22/22 03:09:26 PM,82.152,896.0,,,,,
235,03/22/22 03:09:56 PM,82.330,512.0,,,,,
236,03/22/22 03:10:26 PM,82.508,512.0,,,,,
237,03/22/22 03:10:56 PM,82.686,1024.0,,,,,
238,03/22/22 03:11:26 PM,83.043,576.0,,,,,
239,03/22/22 03:11:56 PM,82.686,464.0,,,,,
240,03/22/22 03:12:26 PM,82.864,1152.0,,,,,
241,03/22/22 03:12:56 PM,83.221,1024.0,,,,,
242,03/22/22 03:13:26 PM,83.221,992.0,,,,,
243,03/22/22 03:13:56 PM,83.579,800.0,,,,,
244,03/22/22 03:14:26 PM,83.221,480.0,,,,,
245,03/22/22 03:14:56 PM,83.043,496.0,,,,,
246,03/22/22 03:15:26 PM,83.043,576.0,,,,,
247,03/22/22 03:15:56 PM,83.043,1344.0,,,,,
248,03/22/22 03:16:26 PM,83.221,960.0,,,,,
249,03/22/22 03:16:56 PM,83.399,1152.0,,,,,
250,03/22/22 03:17:26 PM,83.757,1472.0,,,,,
251,03/22/22 03:17:56 PM,83.579,608.0,,,,,
252,03/22/22 03:18:26 PM,83.579,464.0,,,,,
253,03/22/22 03:18:56 PM,83.043,480.0,,,,,
254,03/22/22 03:19:26 PM,83.043,432.0,,,,,
255,03/22/22 03:19:56 PM,82.864,432.0,,,,,
256,03/22/22 03:20:26 PM,82.686,416.0,,,,,
257,03/22/22 03:20:56 PM,82.508,432.0,,,,,
258,03/22/22 03:21:26 PM,82.330,464.0,,,,,
259,03/22/22 03:21:56 PM,82.330,400.0,,,,,
260,03/22/22 03:22:26 PM,82.330,368.0,,,,,
261,03/22/22 03:22:56 PM,81.975,9.0,,,,,
262,03/22/22 03:23:26 PM,81.797,0.0,,,,,
263,03/22/22 03:23:56 PM,81.442,0.0,,,,,
264,03/22/22 03:24:26 PM,81.442,0.0,,,,,
265,03/22/22 03:24:56 PM,81.266,0.0,,,,,
266,03/22/22 03:25:26 PM,81.090,0.0,,,,,
267,03/22/22 03:25:56 PM,81.090,0.0,,,,,
268,03/22/22 03:26:26 PM,80.911,0.0,,,,,
269,03/22/22 03:26:56 PM,80.911,0.0,,,,,
270,03/22/22 03:27:26 PM,80.911,0.0,,,,,
271,03/22/22 03:27:56 PM,80.911,0.0,,,,,
272,03/22/22 03:28:26 PM,80.911,0.0,,,,,
273,03/22/22 03:28:56 PM,80.735,0.0,,,,,
274,03/22/22 03:29:26 PM,80.735,0.0,,,,,
275,03/22/22 03:29:56 PM,80.735,0.0,,,,,
276,03/22/22 03:30:26 PM,80.735,0.0,,,,,
277,03/22/22 03:30:56 PM,80.735,0.0,,,,,
278,03/22/22 03:31:26 PM,80.735,0.0,,,,,
279,03/22/22 03:31:56 PM,80.735,0.0,,,,,
280,03/22/22 03:32:26 PM,80.735,0.0,,,,,
281,03/22/22 03:32:56 PM,80.735,0.0,,,,,
282,03/22/22 03:33:26 PM,80.735,0.0,,,,,
283,03/22/22 03:33:56 PM,80.735,0.0,,,,,
284,03/22/22 03:34:26 PM,80.735,0.0,,,,,
285,03/22/22 03:34:56 PM,80.735,0.0,,,,,
286,03/22/22 03:35:26 PM,80.735,0.0,,,,,
287,03/22/22 03:35:56 PM,80.735,352.0,,,,,
288,03/22/22 03:36:26 PM,80.911,61.0,,,,,
289,03/22/22 03:36:56 PM,80.911,256.0,,,,,
290,03/22/22 03:37:26 PM,80.911,248.0,,,,,
291,03/22/22 03:37:56 PM,80.735,272.0,,,,,
292,03/22/22 03:38:26 PM,80.735,464.0,,,,,
293,03/22/22 03:38:56 PM,80.911,896.0,,,,,
294,03/22/22 03:39:26 PM,80.911,496.0,,,,,
295,03/22/22 03:39:56 PM,80.911,416.0,,,,,
296,03/22/22 03:40:26 PM,80.911,576.0,,,,,
297,03/22/22 03:40:56 PM,80.911,352.0,,,,,
298,03/22/22 03:41:26 PM,80.735,480.0,,,,,
299,03/22/22 03:41:56 PM,80.911,512.0,,,,,
300,03/22/22 03:42:26 PM,80.735,42.0,,,,,
301,03/22/22 03:42:56 PM,80.735,672.0,,,,,
302,03/22/22 03:43:26 PM,80.735,608.0,,,,,
303,03/22/22 03:43:56 PM,80.735,1344.0,,,,,
304,03/22/22 03:44:26 PM,80.559,1088.0,,,,,
305,03/22/22 03:44:56 PM,80.206,864.0,,,,,
306,03/22/22 03:45:26 PM,79.678,576.0,,,,,
307,03/22/22 03:45:56 PM,79.151,1664.0,,,,,
308,03/22/22 03:46:26 PM,78.624,1856.0,,,,,
309,03/22/22 03:46:56 PM,78.098,1856.0,,,,,
310,03/22/22 03:47:26 PM,77.749,1792.0,,,,,
311,03/22/22 03:47:56 PM,77.400,1792.0,,,,,
312,03/22/22 03:48:26 PM,77.050,1728.0,,,,,
313,03/22/22 03:48:56 PM,76.703,1728.0,,,,,
314,03/22/22 03:49:26 PM,76.528,1600.0,,,,,
315,03/22/22 03:49:56 PM,76.006,39.0,,,,,
316,03/22/22 03:50:26 PM,75.832,79.0,,,,,
317,03/22/22 03:50:56 PM,75.659,90.0,,,,,
318,03/22/22 03:51:26 PM,75.484,49.0,,,,,
319,03/22/22 03:51:56 PM,75.484,53.0,,,,,
320,03/22/22 03:52:26 PM,75.484,31.0,,,,,
321,03/22/22 03:52:56 PM,75.484,152.0,,,,,
322,03/22/22 03:53:26 PM,75.484,93.0,,,,,
323,03/22/22 03:53:56 PM,75.659,114.0,,,,,
324,03/22/22 03:54:26 PM,75.659,120.0,,,,,
325,03/22/22 03:54:56 PM,75.832,63.0,,,,,
326,03/22/22 03:55:26 PM,75.832,92.0,,,,,
327,03/22/22 03:55:56 PM,76.006,92.0,,,,,
328,03/22/22 03:56:26 PM,76.181,94.0,,,,,
329,03/22/22 03:56:56 PM,76.354,98.0,,,,,
330,03/22/22 03:57:26 PM,76.354,99.0,,,,,
331,03/22/22 03:57:56 PM,76.528,100.0,,,,,
332,03/22/22 03:58:26 PM,76.528,100.0,,,,,
333,03/22/22 03:58:56 PM,76.703,102.0,,,,,
334,03/22/22 03:59:26 PM,76.703,104.0,,,,,
335,03/22/22 03:59:56 PM,76.876,106.0,,,,,
